场外代码,场内代码,名称,最新价,最新净值/万份收益,溢价率%,申购状态,赎回状态,下一开放日,买入确认日,卖出确认日,购买起点,日累计限定金额,手续费,成交量,成交额,流通市值,总市值
161129,161129,原油LOF易方达,1.25500,1.11920,12.13367,限大额,开放赎回,,T+2,T+2,10.00000,100.00000,0.12000,4918244.00000,624022470.47000,191584181,191584181
161116,161116,黄金主题LOF,1.48600,1.33200,11.56156,限大额,开放赎回,,T+2,T+2,10.00000,100.00000,0.10000,12115974.00000,1965029732.28200,212882397,212882397
164508,164508,国富中证A100LOF,1.12900,1.06500,6.00939,开放申购,开放赎回,,T+1,T+1,10.00000,100000000000.00000,0.12000,1923.00000,217203.11100,2441323,2441323
160926,160926,创业板定开,0.79100,0.83370,-5.12175,暂停申购,暂停赎回,2026-08-13,T+1,T+1,10.00000,100000000000.00000,0.15000,61.00000,4804.40000,60831909,60831909
161040,161040,创业富国定开,1.04200,1.10280,-5.51324,暂停申购,暂停赎回,2026-08-10,T+1,T+1,10.00000,100000000000.00000,0.15000,1721.00000,178829.80000,68405433,68405433
160325,160325,华夏创业板定开,0.77000,0.81520,-5.54465,暂停申购,暂停赎回,2026-08-20,T+1,T+1,10.00000,100000000000.00000,0.15000,2182.00000,167148.86200,83121428,83121428
501065,501065,经典成长,0.98800,1.04620,-5.56299,暂停申购,暂停赎回,2028-01-03,T+1,T+1,10.00000,100000000000.00000,0.15000,,,12678609,12678609
501070,501070,广发睿阳,0.96500,1.02190,-5.56806,暂停申购,暂停赎回,2028-03-06,T+1,T+1,10.00000,100000000000.00000,0.15000,9.00000,869.00000,12604734,12604734
160143,160143,创业板定开南方,0.85300,0.90610,-5.86028,暂停申购,暂停赎回,2026-09-01,T+1,T+1,10.00000,100000000000.00000,0.15000,54.00000,4614.60000,22082469,22082469
160726,160726,嘉实瑞享定开,0.88900,0.94520,-5.94583,暂停申购,暂停赎回,2026-09-14,T+1,T+1,10.00000,100000000000.00000,0.15000,1425.00000,126542.50000,34715153,34715153
166024,166024,中欧恒利定开,0.91200,0.97200,-6.17284,暂停申购,暂停赎回,2026-12-01,T+1,T+1,10.00000,100000000000.00000,0.15000,1906.00000,174048.20000,78363993,78363993
161914,161914,创业板2年定开,0.63000,0.67750,-7.01107,暂停申购,暂停赎回,2026-10-08,T+1,T+1,10.00000,100000000000.00000,0.15000,499.00000,31442.00000,102138869,102138869
506002,506002,易方达科创板,0.87200,0.94000,-7.23404,暂停申购,暂停赎回,2026-09-28,T+1,T+1,10.00000,100000000000.00000,0.15000,1191.00000,104111.00000,189864833,189864833
506006,506006,汇添富科创板,0.80000,0.86880,-7.91897,暂停申购,暂停赎回,2026-08-24,T+1,T+1,10.00000,100000000000.00000,0.15000,4515.00000,361135.00000,176536000,176536000
506001,506001,万家科创板,0.93000,1.01000,-7.92079,暂停申购,暂停赎回,2026-08-31,T+1,T+1,10.00000,100000000000.00000,0.15000,1627.00000,151178.00000,101998959,101998959
506003,506003,富国科创板,0.68100,0.74250,-8.28283,暂停申购,暂停赎回,2026-08-24,T+1,T+1,10.00000,100000000000.00000,0.15000,5916.00000,402185.00000,150309503,150309503
506005,506005,科创板博时,0.79800,0.87690,-8.99761,暂停申购,暂停赎回,2026-08-10,T+1,T+1,10.00000,100000000000.00000,0.15000,15966.00000,1279850.00000,596353699,596353699
506000,506000,科创板基金,0.72700,0.80030,-9.15907,暂停申购,暂停赎回,2026-08-25,T+1,T+1,10.00000,100000000000.00000,0.15000,11508.00000,838769.00000,563185962,563185962
