场外代码,场内代码,名称,最新价,最新净值/万份收益,溢价率%,申购状态,赎回状态,下一开放日,买入确认日,卖出确认日,购买起点,日累计限定金额,手续费
161116,161116,黄金主题LOF,1.439,1.316,9.346504559270516,限大额,开放赎回,,T+2,T+2,10.0,100.0,0.1
166027,166027,中欧创业定开,0.759,0.8,-5.125000000000004,暂停申购,暂停赎回,2026-07-16,,,10.0,100000000000.0,0.15
166024,166024,中欧恒利定开,0.916,0.967,-5.274043433298855,暂停申购,暂停赎回,2026-12-01,,,10.0,100000000000.0,0.15
160926,160926,创业板定开,0.796,0.841,-5.350772889417351,暂停申购,暂停赎回,2026-08-13,,,10.0,100000000000.0,0.15
501065,501065,经典成长,0.981,1.0415,-5.808929428708604,暂停申购,暂停赎回,2028-01-03,,,10.0,100000000000.0,0.15
160726,160726,嘉实瑞享定开,0.89,0.9457,-5.88981706672306,暂停申购,暂停赎回,2026-09-14,,,10.0,100000000000.0,0.15
161914,161914,创业板2年定开,0.632,0.6737,-6.189698678937207,暂停申购,暂停赎回,2026-10-08,,,10.0,100000000000.0,0.15
506002,506002,易方达科创板,0.871,0.9293,-6.273539223071131,暂停申购,暂停赎回,2026-09-28,,,10.0,100000000000.0,0.15
506001,506001,万家科创板,0.927,0.9972,-7.0397111913357335,暂停申购,暂停赎回,2026-08-31,,,10.0,100000000000.0,0.15
506005,506005,科创板博时,0.797,0.8631,-7.658440505155826,暂停申购,暂停赎回,2026-08-10,,,10.0,100000000000.0,0.15
506006,506006,汇添富科创板,0.807,0.8766,-7.939767282683093,暂停申购,暂停赎回,2026-08-24,,,10.0,100000000000.0,0.15
506000,506000,科创板基金,0.729,0.7942,-8.209519012843117,暂停申购,暂停赎回,2026-08-25,,,10.0,100000000000.0,0.15
506003,506003,富国科创板,0.693,0.7624,-9.102833158447012,暂停申购,暂停赎回,2026-08-24,,,10.0,100000000000.0,0.15
,,,,,,,,,T+1,T+1,,,
,,,,,,,,,T+1,T+1,,,
,,,,,,,,,T+1,T+1,,,
,,,,,,,,,T+1,T+1,,,
,,,,,,,,,T+1,T+1,,,
,,,,,,,,,T+1,T+1,,,
,,,,,,,,,T+1,T+1,,,
,,,,,,,,,T+1,T+1,,,
,,,,,,,,,T+1,T+1,,,
,,,,,,,,,T+1,T+1,,,
,,,,,,,,,T+1,T+1,,,
,,,,,,,,,T+1,T+1,,,
